the back yard of our house
Basic
0.6 0.6
432 388.8
Moved 2014.812 217.9308 352 -0.3288639 -0.09259266
Moved 2014.843 215.2055 352 -0.3351724 -0.09259266
Moved 2014.874 211.7747 360.2253 -0.3431142 -0.07143695
Moved 2014.904 209.042 364.916 -0.3494398 -0.05937254
Moved 2014.935 208 373.7184 -0.3518518 -0.03673239
Moved 2014.966 208 385.609 -0.3518518 -0.006149747
Moved 2014.997 208 397.0146 -0.3518518 0.02318555
Moved 2015.027 208 410.5 -0.3518518 0.05787029
Moved 2015.058 223.7653 429.5307 -0.315358 0.1068176
Moved 2015.089 230.1624 444.3247 -0.3005501 0.144868
Moved 2015.12 237.0436 458.0872 -0.2846213 0.1802654
Moved 2015.15 242.1465 469.2931 -0.2728089 0.2090871
Moved 2015.181 246.7979 480.1917 -0.2620419 0.2371184
Moved 2015.212 251.3278 489.6555 -0.2515561 0.2614596
Moved 2015.242 255.8716 499.7431 -0.2410381 0.287405
Moved 2015.273 259.6611 507.9833 -0.232266 0.3085989
Moved 2015.304 263.3723 515.1169 -0.2236752 0.3269469
Moved 2015.335 268.5266 523.2899 -0.211744 0.3479678
Moved 2015.365 271.2414 527.3621 -0.2054597 0.3584414
Moved 2015.396 278.1273 537.1592 -0.18952 0.3836398
