taking the train is usually faster
Basic
0.6 0.6
432 388.8
Moved 838.9893 204.0391 364.0782 -0.3610206 -0.06152714
Moved 839.02 201.1718 359.3435 -0.367658 -0.07370513
Moved 839.0507 199.2995 355.2996 -0.3719918 -0.08410607
Moved 839.0814 198 352.5 -0.375 -0.09130666
Moved 839.1121 197 350.9289 -0.3773148 -0.09534757
Ended 839.1429 197 351 -0.3773148 -0.09516476
Began 840.3104 447 551 0.2013889 0.4192385
Stationary 840.3411 447 551 0.2013889 0.4192385
Stationary 840.3719 447 551 0.2013889 0.4192385
Moved 840.4026 435.5688 551 0.1749277 0.4192385
Moved 840.4333 424.9979 538.1983 0.1504581 0.3863125
Moved 840.4641 403.4493 519.5181 0.1005771 0.3382667
Moved 840.4948 386.2802 502.2802 0.06083379 0.2939304
Moved 840.5255 374.7264 489.7264 0.03408889 0.261642
Moved 840.5563 365.0323 477.7097 0.01164873 0.2307346
Moved 840.587 357.6227 466.4341 -0.0055029 0.2017337
Moved 840.6177 350.3786 458.5679 -0.02227177 0.1815017
Moved 840.6484 342.3735 448.8314 -0.04080201 0.1564592
Moved 840.6791 336.2273 439.4547 -0.05502934 0.1323421
Moved 840.7099 331.4785 435.7393 -0.06602187 0.1227861
Moved 840.7406 328.4181 430.4181 -0.07310618 0.1090999
Moved 840.7713 325.3419 426.6838 -0.08022706 0.09949542
Moved 840.8021 321.4755 421.4755 -0.08917705 0.08609951
Moved 840.8328 318.6041 416.2082 -0.09582385 0.07255185
Moved 840.8635 315.1005 412.1005 -0.103934 0.06198686
Moved 840.8942 312.2308 408.2308 -0.1105768 0.05203384
Moved 840.9249 309.3637 404.3637 -0.1172136 0.04208769
Moved 840.9557 307.8611 401.8611 -0.1206919 0.03565089
Moved 840.9864 306 399.9447 -0.125 0.03072189
Moved 841.0172 304.0793 398 -0.1294462 0.02572008
Moved 841.0479 303 396.2094 -0.1319445 0.0211147
Moved 841.0786 301.8702 394.8702 -0.1345598 0.01767017
Moved 841.1093 300.6271 393.6271 -0.1374372 0.01447297
Moved 841.14 300 391.9563 -0.1388889 0.01017555
Moved 841.1708 299 391.2988 -0.1412037 0.008484561
Moved 841.2015 299 390.5 -0.1412037 0.006429962
Moved 841.2322 297.751 389.751 -0.1440948 0.004503698
Moved 841.2629 296.8133 388.8133 -0.1462655 0.002091765
Moved 841.2936 295.7771 387.777 -0.1486642 -0.0005735389
Moved 841.3244 294.3858 387.3858 -0.1518847 -0.001579842
Moved 841.3551 291.5132 386 -0.1585343 -0.005144111
Moved 841.3859 286.2875 384 -0.1706308 -0.01028807
Moved 841.4165 282.2878 381.1439 -0.1798894 -0.0176341
Moved 841.4473 275.8186 379.2729 -0.1948644 -0.02244635
Moved 841.478 269.8085 377.4042 -0.2087767 -0.02725248
Moved 841.5087 265.893 375.893 -0.2178403 -0.03113939
Moved 841.5394 260.9871 375 -0.2291966 -0.03343629
Moved 841.5702 256.2375 374.1187 -0.2401911 -0.0357029
Moved 841.6009 252.2524 373.2524 -0.2494157 -0.0379312
Moved 841.6316 248.4807 373 -0.2581465 -0.03858032
Moved 841.6624 243.8681 372 -0.2688238 -0.04115226
Moved 841.6931 238.9987 369.9988 -0.2800955 -0.04629951
Moved 841.7238 234.6642 369.3321 -0.2901292 -0.04801424
Moved 841.7545 230.5655 369 -0.2996168 -0.04886839
Moved 841.7852 227.6971 369 -0.3062567 -0.04886839
Moved 841.816 225.5 369 -0.3113426 -0.04886839
Moved 841.8467 223.2925 368 -0.3164525 -0.05144041
Moved 841.8774 221.7107 368 -0.3201141 -0.05144041
Moved 841.908 220.8515 368 -0.3221031 -0.05144041
Moved 841.9388 219.8954 368 -0.3243162 -0.05144041
Stationary 841.9695 220 368 -0.3240741 -0.05144041
Stationary 842.0003 220 368 -0.3240741 -0.05144041
Moved 842.031 219 368 -0.3263889 -0.05144041
Stationary 842.0618 219 368 -0.3263889 -0.05144041
Stationary 842.0925 219 368 -0.3263889 -0.05144041
Moved 842.1232 219 377.8498 -0.3263889 -0.0261065
Moved 842.1539 231.163 384.442 -0.2982338 -0.009151191
Moved 842.1846 239.9525 392.9525 -0.2778878 0.01273783
Moved 842.2153 257.6941 406.4957 -0.2368193 0.04757131
Moved 842.2461 276.8772 418.9263 -0.1924139 0.07954291
Moved 842.2768 308.7721 438.8734 -0.118583 0.1308472
Moved 842.3076 318.8896 444.6512 -0.09516294 0.1457079
Moved 842.3383 338.9379 456.1074 -0.04875496 0.1751732
Moved 842.369 355.9965 464.4982 -0.00926738 0.1967546
Moved 842.3997 372.4537 472.0722 0.02882799 0.216235
Moved 842.4304 387.8066 479.1226 0.06436706 0.2343688
Moved 842.4612 401.1406 486.2844 0.09523281 0.2527889
Moved 842.4919 412.1806 491.5903 0.1207883 0.2664358
Moved 842.5226 421.1978 496.5989 0.1416616 0.2793182
Moved 842.5533 428.3402 500.6701 0.1581949 0.2897892
Moved 842.584 434.0802 503.5401 0.1714819 0.297171
Moved 842.6148 438.126 506.063 0.1808473 0.3036599
Moved 842.6455 440.9517 507.9517 0.1873882 0.3085178
Moved 842.6763 443.8243 509 0.1940378 0.3112139
Moved 842.707 445.6932 510.6932 0.198364 0.315569
Moved 842.7377 447.2077 512 0.2018697 0.31893
Moved 842.7684 450.5132 515 0.2095212 0.326646
Moved 842.7991 451 515.95 0.2106482 0.3290893
Moved 842.8299 453.5 518.5 0.2164352 0.335648
Moved 842.8606 455.3918 520.3918 0.2208142 0.3405138
Moved 842.8913 456.3734 521.3734 0.2230867 0.3430385
Moved 842.9221 457.5 522 0.2256945 0.3446501
Moved 842.9528 458.5 523 0.2280092 0.3472221
Moved 842.9835 458 524.0489 0.2268519 0.3499199
Moved 843.0142 458 525.2487 0.2268519 0.3530059
Stationary 843.045 458 525 0.2268519 0.3523662
Moved 843.0757 458 526.2455 0.2268519 0.3555697
Moved 843.1064 429.5479 526 0.1609907 0.3549381
Moved 843.1371 399.3284 515.4532 0.09103795 0.3278116
Moved 843.1678 373.5717 506.8442 0.03141592 0.3056693
Moved 843.1985 336.7376 492.295 -0.05384818 0.2682485
Moved 843.2292 304.9697 477.7878 -0.127385 0.2309358
Moved 843.26 280.6015 465.3007 -0.1837929 0.1988186
Moved 843.2907 262.6584 453.0417 -0.2253278 0.1672882
Moved 843.3215 244.5927 442.7672 -0.2671466 0.1408621
Moved 843.3522 231.3535 433.1414 -0.2977928 0.1161043
Moved 843.3829 222.1412 425.7608 -0.3191177 0.09712137
Moved 843.4137 213.8611 419.2407 -0.3382845 0.08035161
Moved 843.4444 204.2696 409.2696 -0.360487 0.05470574
Moved 843.4751 196.665 402.7766 -0.3780903 0.03800565
Moved 843.5059 192.356 397.7121 -0.3880647 0.0249796
Moved 843.5366 186.9675 391.9675 -0.4005382 0.01020435
Moved 843.5673 182.2286 387.2286 -0.4115079 -0.001984153
Moved 843.598 178.4782 383.7391 -0.4201893 -0.01095909
Moved 843.6287 177 380.2387 -0.4236111 -0.01996217
Moved 843.6594 175.8093 380 -0.4263673 -0.02057613
Moved 843.6902 174.9374 379 -0.4283856 -0.02314815
Moved 843.7209 175 378 -0.4282407 -0.02572024
Stationary 843.7516 175 378 -0.4282407 -0.02572024
Stationary 843.7824 175 378 -0.4282407 -0.02572024
Moved 843.8131 185.2999 378 -0.4043983 -0.02572024
Moved 843.8438 192.5014 378 -0.3877282 -0.02572024
Moved 843.8746 200.1052 378 -0.3701268 -0.02572024
Moved 843.9052 205.8127 385.9064 -0.3569149 -0.005384924
Moved 843.936 212 387.5 -0.3425926 -0.001286047
Moved 843.9667 217.6991 388 -0.3294002 -3.924585E-08
Moved 843.9975 223.4486 389 -0.3160913 0.002572016
Moved 844.0281 228.0921 391 -0.3053424 0.007715971
Moved 844.0589 233.252 392.626 -0.293398 0.01189817
Moved 844.0896 237.9795 394.4897 -0.2824549 0.01669169
Moved 844.1204 244.7266 396.3633 -0.2668365 0.02151046
Moved 844.1511 252.6898 397 -0.2484033 0.02314815
Moved 844.1818 260.9509 399 -0.2292802 0.02829214
Moved 844.2124 274.0414 401.6083 -0.1989781 0.03500067
Moved 844.2432 289.8503 402 -0.1623836 0.03600815
Moved 844.274 304.0823 402 -0.129439 0.03600815
Moved 844.3047 325.2369 402 -0.0804702 0.03600815
Moved 844.3354 354.1159 393.4807 -0.0136206 0.01409644
