id,mode,cand,block,phrase,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,All,Top1(ratio),Top2(ratio),Top3(ratio),Top4(ratio),Top5(ratio),Top6(ratio),Top7(ratio),Top8(ratio),Top9(ratio),Top10(ratio),Top11(ratio),Top12(ratio),Top13(ratio)
11,Basic,List,4,40,33,43,47,51,53,55,55,56,58,59,60,60,60,73,0.452055,0.589041,0.643836,0.69863,0.726027,0.753425,0.753425,0.767123,0.794521,0.808219,0.821918,0.821918,0.821918
12,FixStart,List,1,10,40,43,44,47,47,47,47,49,49,49,50,51,51,53,0.754717,0.811321,0.830189,0.886792,0.886792,0.886792,0.886792,0.924528,0.924528,0.924528,0.943396,0.962264,0.962264
12,FixStart,List,2,20,47,50,54,57,57,57,57,58,58,58,58,58,58,61,0.770492,0.819672,0.885246,0.934426,0.934426,0.934426,0.934426,0.95082,0.95082,0.95082,0.95082,0.95082,0.95082
12,FixStart,List,3,30,45,52,53,53,54,54,54,54,54,54,54,54,54,57,0.789474,0.912281,0.929825,0.929825,0.947368,0.947368,0.947368,0.947368,0.947368,0.947368,0.947368,0.947368,0.947368
12,FixStart,List,4,40,34,45,48,48,48,51,51,51,51,51,51,51,51,52,0.653846,0.865385,0.923077,0.923077,0.923077,0.980769,0.980769,0.980769,0.980769,0.980769,0.980769,0.980769,0.980769
12,Basic,List,1,10,42,46,48,48,50,51,51,51,51,51,51,51,53,57,0.736842,0.807018,0.842105,0.842105,0.877193,0.894737,0.894737,0.894737,0.894737,0.894737,0.894737,0.894737,0.929825
12,Basic,List,2,20,42,48,52,55,56,56,58,58,58,58,58,58,58,67,0.626866,0.716418,0.776119,0.820895,0.835821,0.835821,0.865672,0.865672,0.865672,0.865672,0.865672,0.865672,0.865672
12,Basic,List,3,30,38,47,51,53,53,53,55,55,55,55,55,56,56,67,0.567164,0.701493,0.761194,0.791045,0.791045,0.791045,0.820895,0.820895,0.820895,0.820895,0.820895,0.835821,0.835821
12,Basic,List,4,40,39,46,48,49,51,52,52,52,52,52,52,52,52,55,0.709091,0.836364,0.872727,0.890909,0.927273,0.945455,0.945455,0.945455,0.945455,0.945455,0.945455,0.945455,0.945455
13,FixStart,List,1,10,53,58,61,62,62,63,63,64,64,64,64,64,64,67,0.791045,0.865672,0.910448,0.925373,0.925373,0.940298,0.940298,0.955224,0.955224,0.955224,0.955224,0.955224,0.955224
13,FixStart,List,2,20,39,47,48,49,50,51,51,52,52,52,53,53,53,57,0.684211,0.824561,0.842105,0.859649,0.877193,0.894737,0.894737,0.912281,0.912281,0.912281,0.929825,0.929825,0.929825
13,FixStart,List,3,30,46,50,52,54,54,55,55,55,55,55,56,56,56,60,0.766667,0.833333,0.866667,0.9,0.9,0.916667,0.916667,0.916667,0.916667,0.916667,0.933333,0.933333,0.933333
13,FixStart,List,4,40,45,51,52,52,54,55,56,58,58,58,58,58,58,64,0.703125,0.796875,0.8125,0.8125,0.84375,0.859375,0.875,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625
13,Basic,List,1,10,41,45,47,49,49,49,50,50,52,52,52,52,52,57,0.719298,0.789474,0.824561,0.859649,0.859649,0.859649,0.877193,0.877193,0.912281,0.912281,0.912281,0.912281,0.912281
13,Basic,List,2,20,53,56,59,59,60,60,60,61,61,61,61,62,62,63,0.84127,0.888889,0.936508,0.936508,0.952381,0.952381,0.952381,0.968254,0.968254,0.968254,0.968254,0.984127,0.984127
13,Basic,List,3,30,39,45,46,47,48,50,52,53,53,54,54,54,55,58,0.672414,0.775862,0.793103,0.810345,0.827586,0.862069,0.896552,0.913793,0.913793,0.931035,0.931035,0.931035,0.948276
13,Basic,List,4,40,50,53,54,56,57,57,57,57,57,57,58,58,58,62,0.806452,0.854839,0.870968,0.903226,0.919355,0.919355,0.919355,0.919355,0.919355,0.919355,0.935484,0.935484,0.935484
14,FixStart,List,1,10,48,49,53,54,55,56,56,56,56,57,57,57,57,57,0.842105,0.859649,0.929825,0.947368,0.964912,0.982456,0.982456,0.982456,0.982456,1,1,1,1
14,FixStart,List,2,20,49,53,55,55,55,56,56,56,56,56,57,57,57,59,0.830508,0.898305,0.932203,0.932203,0.932203,0.949153,0.949153,0.949153,0.949153,0.949153,0.966102,0.966102,0.966102
14,FixStart,List,3,30,45,52,55,55,56,56,56,56,56,56,56,56,56,64,0.703125,0.8125,0.859375,0.859375,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
14,FixStart,List,4,40,54,59,60,62,62,63,63,63,63,63,63,63,63,63,0.857143,0.936508,0.952381,0.984127,0.984127,1,1,1,1,1,1,1,1
14,Basic,List,1,10,49,53,55,55,55,56,56,56,56,58,58,58,58,62,0.790323,0.854839,0.887097,0.887097,0.887097,0.903226,0.903226,0.903226,0.903226,0.935484,0.935484,0.935484,0.935484
14,Basic,List,2,20,49,53,53,54,54,54,54,54,54,54,54,54,54,61,0.803279,0.868852,0.868852,0.885246,0.885246,0.885246,0.885246,0.885246,0.885246,0.885246,0.885246,0.885246,0.885246
14,Basic,List,3,30,50,51,54,55,56,57,57,58,58,58,58,58,58,63,0.793651,0.809524,0.857143,0.873016,0.888889,0.904762,0.904762,0.920635,0.920635,0.920635,0.920635,0.920635,0.920635
14,Basic,List,4,40,46,50,54,54,57,57,57,57,58,59,59,59,60,63,0.730159,0.793651,0.857143,0.857143,0.904762,0.904762,0.904762,0.904762,0.920635,0.936508,0.936508,0.936508,0.952381
15,Basic,List,1,10,43,50,55,55,55,55,55,55,55,55,55,55,55,61,0.704918,0.819672,0.901639,0.901639,0.901639,0.901639,0.901639,0.901639,0.901639,0.901639,0.901639,0.901639,0.901639
15,Basic,List,2,20,40,47,50,54,57,59,59,59,59,59,59,59,59,70,0.571429,0.671429,0.714286,0.771429,0.814286,0.842857,0.842857,0.842857,0.842857,0.842857,0.842857,0.842857,0.842857
15,Basic,List,3,30,39,46,51,51,51,53,56,56,57,58,58,58,58,68,0.573529,0.676471,0.75,0.75,0.75,0.779412,0.823529,0.823529,0.838235,0.852941,0.852941,0.852941,0.852941
15,Basic,List,4,40,48,54,58,59,62,64,65,65,66,66,66,66,66,80,0.6,0.675,0.725,0.7375,0.775,0.8,0.8125,0.8125,0.825,0.825,0.825,0.825,0.825
15,FixStart,List,1,10,46,59,62,62,64,65,66,66,66,66,66,66,66,72,0.638889,0.819444,0.861111,0.861111,0.888889,0.902778,0.916667,0.916667,0.916667,0.916667,0.916667,0.916667,0.916667
15,FixStart,List,2,20,42,51,53,55,57,58,59,59,60,60,60,60,60,66,0.636364,0.772727,0.80303,0.833333,0.863636,0.878788,0.893939,0.893939,0.909091,0.909091,0.909091,0.909091,0.909091
15,FixStart,List,3,30,42,51,53,57,57,58,58,58,59,59,62,62,62,67,0.626866,0.761194,0.791045,0.850746,0.850746,0.865672,0.865672,0.865672,0.880597,0.880597,0.925373,0.925373,0.925373
15,FixStart,List,4,40,47,54,55,56,57,57,57,57,57,57,57,57,57,64,0.734375,0.84375,0.859375,0.875,0.890625,0.890625,0.890625,0.890625,0.890625,0.890625,0.890625,0.890625,0.890625
16,Basic,Radial,1,10,44,50,59,59,60,62,65,69,69,69,69,69,69,75,0.586667,0.666667,0.786667,0.786667,0.8,0.826667,0.866667,0.92,0.92,0.92,0.92,0.92,0.92
16,Basic,Radial,2,20,49,51,55,55,55,55,55,55,56,58,58,59,59,63,0.777778,0.809524,0.873016,0.873016,0.873016,0.873016,0.873016,0.873016,0.888889,0.920635,0.920635,0.936508,0.936508
16,Basic,Radial,3,30,39,46,48,51,52,53,54,54,55,55,55,55,55,60,0.65,0.766667,0.8,0.85,0.866667,0.883333,0.9,0.9,0.916667,0.916667,0.916667,0.916667,0.916667
16,Basic,Radial,4,40,48,53,54,55,55,55,55,55,55,55,55,55,55,56,0.857143,0.946429,0.964286,0.982143,0.982143,0.982143,0.982143,0.982143,0.982143,0.982143,0.982143,0.982143,0.982143
16,FixStart,Radial,1,10,47,51,52,54,56,56,56,58,58,58,58,58,58,60,0.783333,0.85,0.866667,0.9,0.933333,0.933333,0.933333,0.966667,0.966667,0.966667,0.966667,0.966667,0.966667
16,FixStart,Radial,2,20,41,48,51,52,52,53,54,54,55,55,55,55,55,57,0.719298,0.842105,0.894737,0.912281,0.912281,0.929825,0.947368,0.947368,0.964912,0.964912,0.964912,0.964912,0.964912
16,FixStart,Radial,3,30,43,48,49,52,53,53,53,53,53,54,54,54,54,55,0.781818,0.872727,0.890909,0.945455,0.963636,0.963636,0.963636,0.963636,0.963636,0.981818,0.981818,0.981818,0.981818
