id,mode,cand,block,phrase,WPM,N(words),correct,uncorrected,cancel,uncorrectCancel,delete,noexpand,wrongCancel(noexpand)
5,Basic,Radial,4,35,20.4529,4,4,0,0,0,0,0,0
5,Basic,Radial,4,36,13.7209,6,6,0,0,0,1,0,0
5,Basic,Radial,4,37,18.5284,6,6,0,0,0,0,0,0
5,Basic,Radial,4,38,15.5023,6,6,0,0,0,0,0,0
5,Basic,Radial,4,39,13.6809,5,5,0,0,0,1,0,0
5,Basic,Radial,4,40,21.1293,5,5,0,0,0,0,0,0
5,FixStart,Radial,1,1,19.4753,6,6,0,0,0,0,0,0
5,FixStart,Radial,1,2,15.7541,8,8,0,1,0,0,1,0
5,FixStart,Radial,1,3,20.2331,4,4,0,0,0,0,0,0
5,FixStart,Radial,1,4,20.0129,6,6,0,0,0,0,0,0
5,FixStart,Radial,1,5,16.5259,6,6,0,0,0,0,0,0
5,FixStart,Radial,1,6,18.2359,6,6,0,0,0,0,0,0
5,FixStart,Radial,1,7,18.4966,6,6,0,0,0,0,0,0
5,FixStart,Radial,1,8,17.3819,7,7,0,0,0,0,0,0
5,FixStart,Radial,1,9,18.9274,5,5,0,0,0,0,0,0
5,FixStart,Radial,1,10,19.0506,5,5,0,0,0,0,0,0
5,FixStart,Radial,2,11,15.834,6,6,0,1,1,0,1,1
5,FixStart,Radial,2,12,17.8306,5,5,0,0,0,0,0,0
5,FixStart,Radial,2,13,17.9384,5,5,0,0,0,0,0,0
5,FixStart,Radial,2,14,18.6636,6,6,0,0,0,0,0,0
5,FixStart,Radial,2,15,15.4785,6,6,0,1,0,0,1,0
5,FixStart,Radial,2,16,20.9557,6,6,0,1,0,0,1,0
5,FixStart,Radial,2,17,19.7876,7,7,0,0,0,0,0,0
5,FixStart,Radial,2,18,18.9465,7,7,0,0,0,0,0,0
5,FixStart,Radial,2,19,21.6151,5,5,0,0,0,0,0,0
5,FixStart,Radial,2,20,15.9512,5,5,0,1,0,0,1,0
5,FixStart,Radial,3,21,17.9112,6,6,0,0,0,0,0,0
5,FixStart,Radial,3,22,13.8517,5,5,0,1,0,0,1,0
5,FixStart,Radial,3,23,14.9717,6,6,0,1,0,0,1,0
5,FixStart,Radial,3,24,19.07,6,6,0,0,0,0,0,0
5,FixStart,Radial,3,25,17.3192,6,6,0,1,0,0,1,0
5,FixStart,Radial,3,26,21.4477,4,4,0,0,0,0,0,0
5,FixStart,Radial,3,27,20.2108,7,7,0,0,0,0,0,0
5,FixStart,Radial,3,28,17.8449,5,5,0,1,1,0,1,1
