id,mode,cand,block,part(#/50),GestureSpeed(keyW/s)
2,Basic,List,1,31,34.4901
2,Basic,List,1,32,32.017
2,Basic,List,1,33,34.7534
2,Basic,List,1,34,35.0337
2,Basic,List,1,35,33.5346
2,Basic,List,1,36,32.1757
2,Basic,List,1,37,30.3664
2,Basic,List,1,38,28.9409
2,Basic,List,1,39,29.0103
2,Basic,List,1,40,29.2391
2,Basic,List,1,41,29.2931
2,Basic,List,1,42,28.1207
2,Basic,List,1,43,27.3549
2,Basic,List,1,44,25.6398
2,Basic,List,1,45,24.1018
2,Basic,List,1,46,21.7839
2,Basic,List,1,47,18.7415
2,Basic,List,1,48,15.9527
2,Basic,List,1,49,11.5202
2,Basic,List,1,50,4.95981
2,Basic,List,2,1,22.8491
2,Basic,List,2,2,32.8117
2,Basic,List,2,3,37.7797
2,Basic,List,2,4,41.4095
2,Basic,List,2,5,43.2354
2,Basic,List,2,6,44.2048
2,Basic,List,2,7,42.2931
2,Basic,List,2,8,40.6491
2,Basic,List,2,9,36.6323
2,Basic,List,2,10,35.2067
2,Basic,List,2,11,32.6826
2,Basic,List,2,12,32.8969
2,Basic,List,2,13,34.9511
2,Basic,List,2,14,38.0493
2,Basic,List,2,15,39.2979
2,Basic,List,2,16,39.5655
2,Basic,List,2,17,39.3851
2,Basic,List,2,18,39.6961
2,Basic,List,2,19,38.366
2,Basic,List,2,20,38.1045
2,Basic,List,2,21,37.3268
2,Basic,List,2,22,38.7033
2,Basic,List,2,23,35.7841
2,Basic,List,2,24,36.1201
2,Basic,List,2,25,35.2379
2,Basic,List,2,26,34.9165
2,Basic,List,2,27,32.9626
2,Basic,List,2,28,35.499
2,Basic,List,2,29,36.3405
2,Basic,List,2,30,36.2872
2,Basic,List,2,31,37.617
2,Basic,List,2,32,37.5888
2,Basic,List,2,33,36.2685
2,Basic,List,2,34,33.9535
2,Basic,List,2,35,33.1049
2,Basic,List,2,36,34.3369
2,Basic,List,2,37,35.4304
2,Basic,List,2,38,32.4744
2,Basic,List,2,39,31.5427
2,Basic,List,2,40,30.4462
2,Basic,List,2,41,28.8206
2,Basic,List,2,42,28.5269
2,Basic,List,2,43,27.7555
2,Basic,List,2,44,26.304
2,Basic,List,2,45,26.5526
2,Basic,List,2,46,26.1497
2,Basic,List,2,47,22.9672
2,Basic,List,2,48,18.6035
2,Basic,List,2,49,13.0425
2,Basic,List,2,50,4.98879
2,Basic,List,3,1,28.2363
2,Basic,List,3,2,35.9885
2,Basic,List,3,3,39.5329
2,Basic,List,3,4,44.5021
2,Basic,List,3,5,45.3318
2,Basic,List,3,6,44.9917
2,Basic,List,3,7,44.9143
2,Basic,List,3,8,43.8163
2,Basic,List,3,9,40.9569
2,Basic,List,3,10,39.4033
2,Basic,List,3,11,39.0281
2,Basic,List,3,12,38.928
2,Basic,List,3,13,38.1387
2,Basic,List,3,14,43.0421
2,Basic,List,3,15,42.9092
2,Basic,List,3,16,40.7656
2,Basic,List,3,17,41.1482
2,Basic,List,3,18,40.3641
2,Basic,List,3,19,43.0291
2,Basic,List,3,20,41.5282
2,Basic,List,3,21,38.1791
2,Basic,List,3,22,38.8628
2,Basic,List,3,23,37.9033
2,Basic,List,3,24,38.916
2,Basic,List,3,25,37.12
2,Basic,List,3,26,38.3069
2,Basic,List,3,27,38.836
2,Basic,List,3,28,36.4539
2,Basic,List,3,29,37.5013
2,Basic,List,3,30,35.1759
2,Basic,List,3,31,33.6114
2,Basic,List,3,32,31.0085
2,Basic,List,3,33,30.0295
2,Basic,List,3,34,30.7743
2,Basic,List,3,35,34.4888
2,Basic,List,3,36,34.9847
2,Basic,List,3,37,34.0381
2,Basic,List,3,38,34.8557
2,Basic,List,3,39,34.6401
2,Basic,List,3,40,35.0691
2,Basic,List,3,41,36.3075
2,Basic,List,3,42,34.4229
2,Basic,List,3,43,31.9855
2,Basic,List,3,44,27.5773
2,Basic,List,3,45,25.2678
2,Basic,List,3,46,25.3553
2,Basic,List,3,47,21.885
