id,scale,size,word,algorithm,distance
1,1x3,1,denial,SHARK2,0.95979
1,1x3,1,denial,DTW,0.588127
1,1x3,0.75,my,SHARK2,0.618237
1,1x3,0.75,my,DTW,0.233619
1,1x3,0.75,watch,SHARK2,0.513916
1,1x3,0.75,watch,DTW,0.377552
1,1x3,0.75,fell,SHARK2,1.03884
1,1x3,0.75,fell,DTW,0.861389
1,1x3,0.75,in,SHARK2,0.697367
1,1x3,0.75,in,DTW,0.467734
1,1x3,0.75,the,SHARK2,0.465112
1,1x3,0.75,the,DTW,0.387839
1,1x3,0.75,water,SHARK2,0.438569
1,1x3,0.75,water,DTW,0.406224
1,1x3,0.75,all,SHARK2,1.56817
1,1x3,0.75,all,DTW,0.276647
1,1x3,0.75,work,SHARK2,0.352155
1,1x3,0.75,work,DTW,0.352155
1,1x3,0.75,and,SHARK2,1.20847
1,1x3,0.75,and,DTW,0.913294
1,1x3,0.75,no,SHARK2,1.00275
1,1x3,0.75,no,DTW,0.976056
1,1x3,0.75,play,SHARK2,0.872286
1,1x3,0.75,play,DTW,0.518929
1,1x3,0.75,the,SHARK2,1.5499
1,1x3,0.75,the,DTW,1.40677
1,1x3,0.75,quick,SHARK2,1.6568
1,1x3,0.75,quick,DTW,0.881052
1,1x3,0.75,brown,SHARK2,0.569692
1,1x3,0.75,brown,DTW,0.457748
1,1x3,0.75,fox,SHARK2,0.511726
1,1x3,0.75,fox,DTW,0.472475
1,1x3,0.75,jumps,SHARK2,0.960592
1,1x3,0.75,jumps,DTW,0.651262
1,1x3,0.75,over,SHARK2,1.18101
1,1x3,0.75,over,DTW,0.914196
1,1x3,0.75,the,SHARK2,0.65956
1,1x3,0.75,the,DTW,0.555724
1,1x3,0.75,lazy,SHARK2,0.606487
1,1x3,0.75,lazy,DTW,0.284941
1,1x3,0.75,dog,SHARK2,0.334732
1,1x3,0.75,dog,DTW,0.194137
1,1x3,0.75,an,SHARK2,0.529669
1,1x3,0.75,an,DTW,0.39817
1,1x3,0.75,offer,SHARK2,0.473345
1,1x3,0.75,offer,DTW,0.42047
1,1x3,0.75,you,SHARK2,0.477443
1,1x3,0.75,you,DTW,0.35234
1,1x3,0.75,cannot,SHARK2,0.782034
1,1x3,0.75,cannot,DTW,0.738237
1,1x3,0.75,refuse,SHARK2,0.598295
1,1x3,0.75,refuse,DTW,0.439959
1,1x3,0.75,never,SHARK2,1.8463
1,1x3,0.75,never,DTW,0.590796
1,1x3,0.75,too,SHARK2,0.669547
1,1x3,0.75,too,DTW,0.489698
1,1x3,0.75,rich,SHARK2,0.407766
1,1x3,0.75,rich,DTW,0.313575
1,1x3,0.75,and,SHARK2,0.974886
1,1x3,0.75,and,DTW,0.697384
1,1x3,0.75,never,SHARK2,0.401296
1,1x3,0.75,never,DTW,0.226904
1,1x3,0.75,too,SHARK2,0.535807
1,1x3,0.75,too,DTW,0.444659
1,1x3,0.75,thin,SHARK2,0.630341
1,1x3,0.75,thin,DTW,0.477091
1,1x3,0.75,the,SHARK2,0.583425
1,1x3,0.75,the,DTW,0.462948
1,1x3,0.75,five,SHARK2,1.04408
1,1x3,0.75,five,DTW,0.785577
1,1x3,0.75,boxing,SHARK2,1.30452
1,1x3,0.75,boxing,DTW,0.755423
1,1x3,0.75,wizards,SHARK2,0.920465
1,1x3,0.75,wizards,DTW,0.89191
1,1x3,0.75,jump,SHARK2,0.432133
1,1x3,0.75,jump,DTW,0.430684
1,1x3,0.75,quickly,SHARK2,0.83821
1,1x3,0.75,quickly,DTW,0.511305
1,1x3,0.75,question,SHARK2,0.661629
1,1x3,0.75,question,DTW,0.521292
1,1x3,0.75,that,SHARK2,0.701379
1,1x3,0.75,that,DTW,0.486289
1,1x3,0.75,must,SHARK2,0.56567
1,1x3,0.75,must,DTW,0.382954
1,1x3,0.75,be,SHARK2,0.475486
1,1x3,0.75,be,DTW,0.249791
1,1x3,0.75,answered,SHARK2,1.15347
1,1x3,0.75,answered,DTW,0.661228
1,1x3,0.75,the,SHARK2,0.931195
1,1x3,0.75,the,DTW,0.793339
1,1x3,0.75,facts,SHARK2,0.726389
