questioning the wisdom of the courts
questioning the wisdom of the courts
Basic
0.6 0.6
432 326.4
Moved 1619.193 306 217.9755 -0.125 -0.459634
Stationary 1619.237 306 217.9755 -0.125 -0.459634
Moved 1619.281 306 216.9368 -0.125 -0.4628163
Stationary 1619.326 306 216.9368 -0.125 -0.4628163
Stationary 1619.377 306 216.9368 -0.125 -0.4628163
Stationary 1619.43 306 216.9368 -0.125 -0.4628163
Moved 1619.479 306 215.9985 -0.125 -0.4656907
Stationary 1619.523 306 216 -0.125 -0.4656863
Stationary 1619.566 306 216 -0.125 -0.4656863
Stationary 1619.608 306 216 -0.125 -0.4656863
Stationary 1619.681 306 216 -0.125 -0.4656863
Stationary 1619.724 306 216 -0.125 -0.4656863
Stationary 1619.767 306 216 -0.125 -0.4656863
Ended 1619.809 306 216 -0.125 -0.4656863
Accept 1619.857 tube
Backspace 1623.37
Began 1624.371 142 404 -0.5046296 0.1102942
Stationary 1624.427 142 404 -0.5046296 0.1102942
Stationary 1624.473 142 404 -0.5046296 0.1102942
Moved 1624.517 131.0562 404 -0.5299625 0.1102942
Moved 1624.561 121.5133 417.7301 -0.5520526 0.1523594
Moved 1624.61 112.739 430.3915 -0.5723633 0.1911504
Moved 1624.658 107 445.9156 -0.5856481 0.2387122
Moved 1624.705 107 449.9256 -0.5856481 0.2509976
Moved 1624.753 115.3694 460.3912 -0.5662746 0.2830614
Moved 1624.798 125.0026 476.504 -0.5439754 0.3324264
Moved 1624.843 133.8959 490.3438 -0.5233892 0.3748279
Moved 1624.886 140.6179 495.309 -0.5078291 0.3900397
Moved 1624.929 166.5 499 -0.4479167 0.4013481
Moved 1624.971 270.0553 500 -0.2082053 0.4044118
Moved 1625.033 386.1954 489 0.06063759 0.3707108
Moved 1625.077 412.2592 498.2036 0.1209704 0.3989082
Moved 1625.122 418.6177 497 0.1356891 0.3952206
Moved 1625.167 420.0492 497 0.1390028 0.3952206
Moved 1625.211 397.6413 497 0.08713265 0.3952206
Moved 1625.255 349.429 485.1072 -0.02446979 0.3587844
Moved 1625.299 256.2148 465.5031 -0.2402436 0.2987226
Moved 1625.354 189.4976 440.6866 -0.3946815 0.2226917
Moved 1625.407 181.6086 438 -0.4129431 0.2144608
Moved 1625.453 177.3085 435.3085 -0.422897 0.2062146
Moved 1625.528 195.3518 382.0618 -0.3811301 0.04308168
Moved 1625.579 210.5709 334.8582 -0.3459007 -0.1015374
Moved 1625.625 211 332 -0.3449074 -0.1102941
Moved 1625.673 243.4725 394.2089 -0.2697395 0.08029676
Moved 1625.719 287.8743 449.3585 -0.1669577 0.2492602
Moved 1625.766 318.2399 476.4599 -0.09666692 0.3322913
Moved 1625.813 346.6739 495.2422 -0.03084754 0.3898352
Moved 1625.859 381.3742 509.1069 0.04947742 0.432313
Moved 1625.904 432.6282 510 0.168121 0.4350491
