usage,type,key,x,y
Indirect,end,a,-0.407407,-0.0648149
Indirect,end,a,-0.474537,0.0532407
Indirect,end,a,-0.400463,0.0439814
Indirect,end,a,-0.284722,0.074074
Indirect,end,a,-0.43287,-0.0451688
Indirect,end,a,-0.402778,-0.013889
Indirect,end,a,-0.395833,0.00925923
Indirect,end,a,-0.388889,-0.111111
Indirect,end,a,-0.398148,-0.0694445
Indirect,end,a,-0.418982,0.0624999
Indirect,end,a,-0.4375,-0.087963
Indirect,end,a,-0.416667,0.0578703
Indirect,end,a,-0.384259,-0.00925926
Indirect,end,a,-0.270833,0.125
Indirect,end,a,-0.291219,-0.0162038
Indirect,end,a,-0.31713,-0.037037
Indirect,end,a,-0.377315,0.0717593
Indirect,end,a,-0.358453,-0.0347223
Indirect,end,a,-0.384259,-0.013889
Indirect,end,a,-0.331018,0.0300925
Indirect,end,a,-0.289352,0.0208333
Indirect,end,a,-0.303241,0.00462956
Indirect,end,a,-0.37963,0.0810184
Indirect,end,a,-0.239211,0.0389925
Indirect,end,a,-0.509259,0.0601852
Indirect,end,a,-0.429398,0.0810184
Indirect,end,a,-0.196602,-0.0578704
Indirect,end,a,-0.243056,0.0810184
Indirect,end,a,-0.368056,-0.143519
Indirect,end,a,-0.423611,0.113426
Indirect,end,a,-0.287037,0.226852
Indirect,end,a,-0.290509,0.201389
Indirect,end,a,-0.364602,0.149287
Indirect,end,a,-0.428241,-0.0185185
Indirect,end,a,-0.44213,0.0208333
Indirect,end,a,-0.43287,0.0132372
Indirect,end,a,-0.465278,-0.0462964
Indirect,end,a,-0.439815,0.037037
Indirect,end,a,-0.516204,0.0763888
Indirect,end,a,-0.435185,-0.0185185
Indirect,end,a,-0.474537,0.0277777
Indirect,end,a,-0.425926,-0.037037
Indirect,end,a,-0.439815,-0.0393519
Indirect,end,a,-0.5625,0.0624999
Indirect,end,a,-0.375,0.180555
Indirect,end,a,-0.486111,0.037037
Indirect,end,a,-0.474537,0.168981
Indirect,end,a,-0.569444,0.0393518
Indirect,end,a,-0.525463,0.150463
Indirect,end,a,-0.587963,-0.129269
Indirect,end,a,-0.548611,0.111111
Indirect,end,a,-0.490741,0.011574
Indirect,end,a,-0.296296,0.0180018
Indirect,end,a,-0.398148,0.011574
Indirect,end,a,-0.375,0.0300925
Indirect,end,a,-0.388889,0.00925923
Indirect,end,a,-0.393518,0.0347222
Indirect,end,a,-0.407407,-0.00694451
Indirect,end,a,-0.390569,-0.0393519
Indirect,end,a,-0.407407,-0.0119406
Indirect,end,a,-0.372505,0.0300925
Indirect,end,a,-0.356482,0.0324073
Indirect,end,a,-0.43287,-0.0127316
Indirect,end,a,-0.439815,-0.00925926
Indirect,end,a,-0.333333,0.0694444
Indirect,end,a,-0.386574,-0.104167
Indirect,end,a,-0.388889,0.074074
Indirect,end,a,-0.409722,0.00231481
Indirect,end,a,-0.444444,0.0810184
Indirect,end,a,-0.331018,0.0856481
Indirect,end,a,-0.44383,0.00354424
Indirect,end,a,-0.310185,-0.0185185
Indirect,end,a,-0.525463,-0.12037
Indirect,end,a,-0.449074,-0.0995371
Indirect,end,a,-0.321759,0.00462956
Indirect,end,a,-0.393518,-0.0324074
Indirect,end,a,-0.333333,0.0787037
Indirect,end,a,-0.521991,-0.165509
Indirect,end,a,-0.375,-0.113426
Indirect,end,a,-0.49537,-0.0162038
Indirect,end,a,-0.409722,0.0879629
Indirect,end,a,-0.386574,-0.0185185
Indirect,end,a,-0.226852,-0.0972223
Indirect,end,a,-0.402778,-0.162037
Indirect,end,a,-0.405093,-0.0439816
Indirect,end,a,-0.5,-0.152778
Indirect,end,a,-0.546296,-0.12963
Indirect,end,a,-0.634259,0.222222
Indirect,end,a,-0.483796,-0.185185
Indirect,end,a,-0.525463,0.00925923
Indirect,end,a,-0.506945,-0.037037
Indirect,end,a,-0.543982,-0.0185185
Indirect,end,a,-0.395833,0.011574
Indirect,end,a,-0.423611,-0.0439816
Indirect,end,a,-0.386574,0.00231481
Indirect,end,a,-0.407407,0.0462962
Indirect,end,a,-0.384259,0.0277777
Indirect,end,a,-0.407407,0.0856481
Indirect,end,a,-0.43287,0.037037
Indirect,end,a,-0.469907,-0.0717593
Indirect,end,a,-0.405093,0.136574
Indirect,end,a,-0.446759,-3.53213e-008
Indirect,end,a,-0.456018,0.138889
Indirect,end,a,-0.409722,-0.131945
Indirect,end,a,-0.395833,0.00473369
Indirect,end,a,-0.349537,0.00925923
Indirect,end,a,-0.349537,0.0300925
Indirect,end,a,-0.371528,0.0185184
Indirect,end,a,-0.539352,0.0439814
Indirect,end,a,-0.386574,-0.0046297
Indirect,end,a,-0.356482,-0.0162038
Indirect,end,a,-0.358796,-0.12963
Indirect,end,a,-0.273148,-0.0648149
Indirect,end,a,-0.384259,-0.203704
Indirect,end,a,-0.391204,-0.236111
Indirect,end,a,-0.453704,0.00231481
Indirect,start,b,-0.0555556,-0.324074
Indirect,start,b,-0.118055,-0.384259
Indirect,start,b,0.0439815,-0.275463
Indirect,start,b,-0.00925928,-0.351852
Indirect,start,b,-0.00694444,-0.351852
Indirect,start,b,-0.0231482,-0.335648
Indirect,start,b,0.0231482,-0.145833
Indirect,start,b,-0.0740741,-0.284722
Indirect,start,b,-0.0023148,-0.31713
Indirect,start,b,0.0856481,-0.203704
Indirect,start,b,0.00231485,-0.388889
Indirect,start,b,0.011574,-0.240741
Indirect,start,b,0.00231485,-0.497685
Indirect,start,b,-0.0648148,-0.439815
Indirect,start,b,0.0995371,-0.324074
Indirect,start,b,-0.0324074,-0.291667
Indirect,start,b,-0.0486111,-0.407407
Indirect,start,b,0.011574,-0.418981
Indirect,start,b,0.0393519,-0.435185
Indirect,start,b,0.0509259,-0.333333
Indirect,start,b,0.0671296,-0.319444
Indirect,start,b,-0.0208333,-0.19213
Indirect,start,b,0.037037,-0.351852
Indirect,start,b,0.155093,-0.219907
Indirect,start,b,0.011574,-0.303241
Indirect,start,b,0.0856481,-0.277778
Indirect,start,b,0.0601852,-0.280093
Indirect,start,b,0.215278,-0.393519
Indirect,start,b,0.201389,-0.231482
Indirect,start,b,0.18287,-0.303241
Indirect,start,b,0.0694445,-0.412037
Indirect,start,b,0.0208333,-0.465278
Indirect,start,b,-0.0023148,-0.391204
Indirect,start,b,0.0648148,-0.321759
Indirect,start,b,0.115741,-0.395833
Indirect,start,b,0.111111,-0.372685
Indirect,start,b,0.127315,-0.381945
Indirect,start,b,0.0949074,-0.456019
Indirect,start,b,0.0601852,-0.4375
Indirect,start,b,0.275463,-0.416667
Indirect,start,b,0.115741,-0.289352
Indirect,start,b,0.0509259,-0.449074
Indirect,start,b,-0.0532408,-0.472222
Indirect,start,b,0.194444,-0.25463
Indirect,start,b,0.0671296,-0.138889
Indirect,start,b,0.194444,-0.333333
Indirect,start,b,0.125,-0.287037
Indirect,start,b,0.162037,-0.231482
Indirect,start,b,0.118055,-0.273148
Indirect,start,b,-0.0810185,-0.409722
Indirect,start,b,0.00231485,-0.310185
Indirect,start,b,0.0416666,-0.337963
Indirect,start,b,0.0625,-0.256945
Indirect,start,b,-0.0115741,-0.291667
Indirect,start,b,0.118055,-0.314815
Indirect,start,b,0.0648148,-0.263889
Indirect,start,b,0.0763889,-0.226852
Indirect,start,b,-0.0324074,-0.273148
Indirect,start,b,0.0925926,-0.236111
Indirect,start,b,-0.025463,-0.393519
Indirect,start,b,0.00462959,-0.222222
Indirect,start,b,0.0185186,-0.277778
