id,algorithm,block,mode,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,all,top1(ratio),top2(ratio),top3(ratio),top4(ratio),top5(ratio),top6(ratio),top7(ratio),top8(ratio),top9(ratio),top10(ratio),top11(ratio),top12(ratio)
9,DTW,5,Basic,19,25,27,29,29,29,29,29,29,29,29,29,34,0.558824,0.735294,0.794118,0.852941,0.852941,0.852941,0.852941,0.852941,0.852941,0.852941,0.852941,0.852941
9,DTW,6,Basic,34,35,35,35,35,35,35,35,35,35,35,35,42,0.809524,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333
9,DTW,7,Basic,27,30,30,30,30,31,31,31,31,31,32,32,36,0.75,0.833333,0.833333,0.833333,0.833333,0.861111,0.861111,0.861111,0.861111,0.861111,0.888889,0.888889
9,DTW,8,Basic,24,26,27,28,29,29,29,29,29,29,29,29,32,0.75,0.8125,0.84375,0.875,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625,0.90625
9,DTW,1,FixStart,30,32,35,35,35,35,35,35,35,35,35,35,42,0.714286,0.761905,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333,0.833333
9,DTW,2,FixStart,31,32,32,32,32,32,32,32,32,32,32,32,35,0.885714,0.914286,0.914286,0.914286,0.914286,0.914286,0.914286,0.914286,0.914286,0.914286,0.914286,0.914286
9,DTW,3,FixStart,24,28,31,31,31,31,31,31,31,31,31,31,35,0.685714,0.8,0.885714,0.885714,0.885714,0.885714,0.885714,0.885714,0.885714,0.885714,0.885714,0.885714
9,DTW,4,FixStart,26,28,30,30,30,31,31,31,31,31,31,31,35,0.742857,0.8,0.857143,0.857143,0.857143,0.885714,0.885714,0.885714,0.885714,0.885714,0.885714,0.885714
9,DTW,5,FixStart,27,29,30,30,30,30,30,30,30,30,30,30,33,0.818182,0.878788,0.909091,0.909091,0.909091,0.909091,0.909091,0.909091,0.909091,0.909091,0.909091,0.909091
9,DTW,6,FixStart,31,33,34,34,34,35,35,35,35,35,35,35,39,0.794872,0.846154,0.871795,0.871795,0.871795,0.897436,0.897436,0.897436,0.897436,0.897436,0.897436,0.897436
9,DTW,7,FixStart,25,27,29,29,29,29,29,29,30,30,30,30,30,0.833333,0.9,0.966667,0.966667,0.966667,0.966667,0.966667,0.966667,1,1,1,1
