user_id,usage,phrase_id,word_id,precision
2,Indirect,18,5,0.72946
2,Indirect,18,6,0.744571
2,Indirect,19,1,0.330448
2,Indirect,19,2,1.60774
2,Indirect,19,3,0.580592
2,Indirect,19,4,0.468914
2,Indirect,19,5,1.09265
2,Indirect,20,1,0.939377
2,Indirect,20,2,0.603889
2,Indirect,20,3,0.738922
2,Indirect,20,4,0.632741
2,Indirect,21,1,0.705504
2,Indirect,21,2,0.379711
2,Indirect,21,3,1.1372
2,Indirect,21,4,0.549113
2,Indirect,21,5,0.485584
2,Indirect,21,6,0.444481
2,Indirect,22,1,0.87602
2,Indirect,22,2,0.535318
2,Indirect,22,3,0.373191
2,Indirect,22,4,0.56661
2,Indirect,23,1,0.817303
2,Indirect,23,2,0.459929
2,Indirect,23,3,0.565679
2,Indirect,23,4,0.349758
2,Indirect,23,5,0.553678
2,Indirect,23,6,0.839485
2,Indirect,24,1,1.00297
2,Indirect,24,2,0.870017
2,Indirect,24,3,0.864875
2,Indirect,24,4,0.962445
2,Indirect,24,5,0.68767
2,Indirect,24,6,0.459818
2,Indirect,24,7,0.528799
2,Indirect,25,1,0.9618
2,Indirect,25,2,0.300776
2,Indirect,25,3,0.652497
2,Indirect,25,4,0.790856
2,Indirect,25,5,0.615672
2,Indirect,26,1,0.817852
2,Indirect,26,2,0.349247
2,Indirect,26,3,0.727898
2,Indirect,26,4,0.30591
2,Indirect,26,5,0.810499
2,Indirect,26,6,0.498167
2,Indirect,27,1,0.729178
2,Indirect,27,2,0.624507
2,Indirect,27,3,0.596657
2,Indirect,27,4,0.497446
2,Indirect,28,1,0.528251
2,Indirect,28,2,0.177558
2,Indirect,28,3,1.20318
2,Indirect,28,4,0.511369
2,Indirect,28,5,0.517466
2,Indirect,28,6,0.5251
2,Indirect,29,1,0.617898
2,Indirect,29,2,0.506177
2,Indirect,29,3,0.389341
2,Indirect,29,4,0.321525
2,Indirect,29,5,0.581145
2,Indirect,30,1,0.447164
2,Indirect,30,2,0.837336
2,Indirect,30,3,0.406398
2,Indirect,30,4,0.793232
2,Indirect,30,5,0.697004
2,Indirect,31,1,1.38608
2,Indirect,31,2,1.33347
2,Indirect,31,3,0.796462
2,Indirect,31,4,0.620934
2,Indirect,31,5,0.729905
2,Indirect,32,1,0.697103
2,Indirect,32,2,0.351334
2,Indirect,32,3,0.67537
2,Indirect,32,4,0.59631
2,Indirect,32,5,0.533159
2,Indirect,33,1,0.92675
2,Indirect,33,2,0.493416
2,Indirect,33,3,1.06377
2,Indirect,33,4,1.11843
2,Indirect,33,5,0.89583
2,Indirect,34,1,0.377943
2,Indirect,34,2,0.823527
2,Indirect,34,3,0.487834
2,Indirect,34,4,0.351864
2,Indirect,34,5,0.565305
2,Indirect,34,6,0.548409
2,Indirect,35,1,0.261008
2,Indirect,35,2,0.762556
2,Indirect,35,3,0.685891
2,Indirect,35,4,0.581625
2,Indirect,35,5,0.689776
2,Indirect,35,6,0.617439
2,Indirect,35,7,0.31756
2,Indirect,36,1,0.348484
2,Indirect,36,2,0.548213
2,Indirect,36,3,0.952711
2,Indirect,36,4,0.583591
2,Indirect,36,5,0.403062
2,Indirect,36,6,0.716501
2,Indirect,36,7,0.657508
2,Indirect,37,1,0.524705
2,Indirect,37,2,0.572356
2,Indirect,37,3,0.31925
2,Indirect,37,4,0.798839
2,Indirect,37,5,0.509509
2,Indirect,38,1,0.584982
2,Indirect,38,2,0.350902
2,Indirect,38,3,1.00037
2,Indirect,39,1,0.647855
2,Indirect,39,2,0.638673
2,Indirect,39,3,0.825584
2,Indirect,39,4,0.373873
2,Indirect,39,5,0.472062
2,Indirect,39,6,0.509144
2,Indirect,40,1,0.479948
2,Indirect,40,2,0.582893
2,Indirect,40,3,0.711061
2,Indirect,40,4,0.381288
2,Indirect,40,5,1.18233
2,Indirect,40,6,1.11746
2,Direct,41,1,0.45594
2,Direct,41,2,0.344989
2,Direct,41,3,0.556958
2,Direct,41,4,0.342439
2,Direct,41,5,0.345352
2,Direct,41,6,0.34088
2,Direct,41,7,0.674336
2,Direct,41,8,0.760998
2,Direct,41,9,0.276911
2,Direct,42,1,0.559026
2,Direct,42,2,0.447242
2,Direct,42,3,0.43913
2,Direct,42,4,0.521416
2,Direct,42,5,0.263012
2,Direct,42,6,0.432771
2,Direct,43,1,0.186349
2,Direct,43,2,0.631241
2,Direct,43,3,0.599778
2,Direct,43,4,0.617832
2,Direct,43,5,0.329094
2,Direct,44,1,0.665507
2,Direct,44,2,0.161834
2,Direct,44,3,0.694235
2,Direct,44,4,0.734532
2,Direct,44,5,0.367648
2,Direct,44,6,0.422223
2,Direct,45,1,0.134946
2,Direct,45,2,0.17585
2,Direct,45,3,0.445097
2,Direct,45,4,0.355097
2,Direct,45,5,0.49606
2,Direct,46,1,0.509309
2,Direct,46,2,0.531843
2,Direct,46,3,0.456286
2,Direct,46,4,0.291674
2,Direct,46,5,0.359387
2,Direct,47,1,0.253298
2,Direct,47,2,0.589979
2,Direct,47,3,0.662293
2,Direct,47,4,0.505646
2,Direct,48,1,0.349395
2,Direct,48,2,0.264676
2,Direct,48,3,0.282217
2,Direct,48,4,0.4045
2,Direct,48,5,0.219975
2,Direct,48,6,0.356913
2,Direct,49,1,0.294743
2,Direct,49,2,0.194801
2,Direct,49,3,0.530502
2,Direct,49,4,0.371941
2,Direct,49,5,0.440596
2,Direct,49,6,0.799693
2,Direct,50,1,0.419503
2,Direct,50,2,0.352279
2,Direct,50,3,0.597677
2,Direct,50,4,0.551922
2,Direct,50,5,0.475464
2,Direct,50,6,0.593181
2,Direct,50,7,0.339222
2,Direct,50,8,0.374347
2,Direct,51,1,0.296173
2,Direct,51,2,0.308264
2,Direct,51,3,0.559084
2,Direct,51,4,0.262331
2,Direct,51,5,0.417425
2,Direct,52,1,0.138999
2,Direct,52,2,0.0992681
2,Direct,52,3,0.415671
2,Direct,52,4,0.324582
2,Direct,52,5,0.724031
2,Direct,52,6,0.437249
2,Direct,53,1,0.389277
2,Direct,53,2,0.444019
2,Direct,53,3,0.533423
2,Direct,53,4,0.70903
2,Direct,53,5,0.26521
2,Direct,53,6,0.587665
2,Direct,53,7,0.392897
2,Direct,54,1,0.334266
2,Direct,54,2,0.529593
2,Direct,54,3,0.340056
2,Direct,54,4,0.14437
2,Direct,54,5,0.562684
2,Direct,55,1,0.506119
2,Direct,55,2,0.524611
2,Direct,55,3,0.598481
2,Direct,55,4,0.52454
2,Direct,55,5,0.42551
2,Direct,56,1,0.137351
2,Direct,56,2,0.274665
2,Direct,56,3,0.475753
2,Direct,56,4,0.372714
2,Direct,56,5,0.629797
2,Direct,56,6,0.539508
2,Direct,57,1,1.01104
2,Direct,57,2,0.334209
2,Direct,57,3,0.258493
2,Direct,57,4,0.703782
2,Direct,57,5,0.284549
2,Direct,58,1,1.02471
2,Direct,58,2,0.204241
2,Direct,58,3,0.410359
2,Direct,58,4,0.314757
2,Direct,58,5,0.500603
2,Direct,58,6,0.261113
2,Direct,58,7,0.365326
2,Direct,58,8,0.401775
2,Direct,59,1,0.527788
2,Direct,59,2,0.670566
2,Direct,59,3,0.271571
2,Direct,59,4,0.292585
2,Direct,60,1,0.293342
2,Direct,60,2,0.53502
2,Direct,60,3,0.792462
2,Direct,60,4,0.477374
2,Direct,60,5,0.527985
2,Direct,61,1,0.381523
2,Direct,61,2,0.594059
2,Direct,61,3,0.696626
2,Direct,61,4,0.427858
2,Direct,61,5,0.48806
2,Direct,61,6,0.156244
2,Direct,61,7,0.271367
2,Direct,62,1,0.235202
2,Direct,62,2,1.11963
2,Direct,62,3,0.715731
2,Direct,62,4,0.605183
2,Direct,62,5,0.432053
2,Direct,63,1,0.782761
2,Direct,63,2,0.631004
2,Direct,63,3,0.146994
2,Direct,63,4,0.197941
2,Direct,63,5,0.25331
2,Direct,63,6,0.400985
2,Direct,64,1,0.37829
2,Direct,64,2,0.450787
2,Direct,64,3,0.35819
2,Direct,64,4,0.584759
2,Direct,64,5,0.450571
2,Direct,65,1,0.346243
2,Direct,65,2,0.505219
2,Direct,65,3,0.418863
2,Direct,65,4,0.531078
2,Direct,66,1,0.709652
2,Direct,66,2,0.45295
2,Direct,66,3,0.54712
2,Direct,66,4,0.357664
2,Direct,66,5,0.463757
2,Direct,66,6,0.263145
2,Direct,67,1,0.443922
2,Direct,67,2,0.516024
2,Direct,67,3,0.304736
2,Direct,67,4,0.46198
2,Direct,67,5,0.341793
2,Direct,68,1,0.565869
2,Direct,68,2,0.388749
2,Direct,68,3,0.55517
2,Direct,68,4,0.497739
2,Direct,68,5,0.19551
2,Direct,68,6,0.470884
2,Direct,69,1,0.248507
2,Direct,69,2,0.34809
2,Direct,69,3,0.667419
2,Direct,69,4,0.291657
2,Direct,69,5,0.556108
2,Direct,70,1,0.535665
2,Direct,70,2,0.424097
2,Direct,70,3,0.331421
2,Direct,70,4,0.671794
2,Direct,71,1,0.579371
2,Direct,71,2,0.424125
2,Direct,71,3,0.227584
2,Direct,71,4,0.408843
2,Direct,71,5,0.413891
2,Direct,71,6,0.562384
2,Direct,71,7,0.230219
2,Direct,71,8,0.288415
2,Direct,71,9,0.349456
2,Direct,72,1,0.388773
2,Direct,72,2,0.590222
2,Direct,72,3,0.597138
2,Direct,72,4,0.477952
2,Direct,73,1,0.620955
2,Direct,73,2,0.622009
2,Direct,73,3,0.434439
2,Direct,73,4,0.189624
2,Direct,73,5,0.234206
2,Direct,73,6,0.43712
2,Direct,74,1,0.436206
2,Direct,74,2,0.370833
2,Direct,74,3,0.145471
2,Direct,74,4,0.571879
2,Direct,74,5,0.245398
2,Direct,74,6,0.233265
2,Direct,75,1,0.655104
2,Direct,75,2,0.658816
2,Direct,75,3,0.362712
2,Direct,75,4,0.606666
2,Direct,75,5,0.36202
