id,usage,type,key,x,y
1,Direct,start,s,-0.347222,-0.0671296,
1,Direct,end,w,-0.265046,0.252315,
1,Direct,start,w,-0.335648,0.300926,
1,Direct,end,t,0.027194,0.258098,
1,Direct,start,t,-0.0555556,0.247685,
1,Direct,end,o,0.391204,0.337963,
1,Direct,start,d,-0.219907,-0.0740741,
1,Direct,end,o,0.353652,0.311214,
1,Direct,start,w,-0.365741,0.219907,
1,Direct,end,n,0.104167,-0.282407,
1,Direct,start,t,-0.0462963,0.314815,
1,Direct,end,e,-0.243056,0.226033,
1,Direct,start,o,0.446759,0.337963,
1,Direct,end,l,0.365741,0.0555555,
1,Direct,start,r,-0.155093,0.24537,
1,Direct,end,s,-0.241554,-0.0608726,
1,Direct,start,d,-0.263889,-0.0324074,
