we run the risk of failure
Direct
0.6 0.6
432 388.8
Moved 778.3711 334.2878 386.2158 -0.05951911 -0.004589018
Moved 778.4018 325.6301 380.6301 -0.07956003 -0.01895567
Moved 778.4326 320.8638 377.9319 -0.090593 -0.02589528
Moved 778.4633 319.1455 376.1455 -0.09457067 -0.03049002
Ended 778.4941 319 376 -0.09490739 -0.03086435
Began 779.6928 327 391 -0.07638887 0.007715971
Stationary 779.7236 327 391 -0.07638887 0.007715971
Stationary 779.7543 327 391 -0.07638887 0.007715971
Stationary 779.785 327 391 -0.07638887 0.007715971
Stationary 779.8158 327 391 -0.07638887 0.007715971
Stationary 779.8465 327 391 -0.07638887 0.007715971
Moved 779.8773 302.0261 391 -0.1341988 0.007715971
Moved 779.908 277.0686 391 -0.1919708 0.007715971
Moved 779.9387 246.96 382.2466 -0.2616666 -0.01479781
Moved 779.9695 217.3234 379.4803 -0.33027 -0.02191269
Moved 780.0002 196.0564 376.7224 -0.3794992 -0.02900637
Moved 780.0309 186.2511 376.3128 -0.4021965 -0.03005981
Moved 780.0616 180.0959 376 -0.4164448 -0.03086435
Moved 780.0923 179 376 -0.4189815 -0.03086435
Stationary 780.123 179 376 -0.4189815 -0.03086435
Moved 780.1538 223.0355 397.8142 -0.3170474 0.02524227
Moved 780.1846 244.7333 403.6833 -0.266821 0.04033783
Moved 780.2153 293.6398 425.3817 -0.1536116 0.09614626
Moved 780.2461 336.1059 446.1898 -0.05531038 0.1496651
Moved 780.2768 398.2639 483.5093 0.08857389 0.2456514
Moved 780.3076 430.2369 503.564 0.1625855 0.2972323
Moved 780.3383 443.6171 513.3085 0.193558 0.3222955
Moved 780.3691 450.3867 517.1289 0.2092284 0.3321216
Moved 780.3998 454.7795 519.8898 0.219397 0.3392226
Moved 780.4305 458.6613 520 0.2283826 0.3395061
Moved 780.4613 464.8552 520 0.2427205 0.3395061
Moved 780.492 473.4638 501.0724 0.2626477 0.2908242
Moved 780.5227 483.5616 469.9557 0.2860222 0.2107912
Moved 780.5535 494.217 437.3489 0.3106876 0.126926
Moved 780.5842 505.4043 407.4893 0.3365839 0.05012681
Moved 780.615 514.6222 386.215 0.3579217 -0.004591176
Moved 780.6457 521.9272 371.7637 0.3748315 -0.04176002
Moved 780.6764 525.072 363.8561 0.382111 -0.06209864
Moved 780.7072 526 360.4823 0.3842592 -0.07077605
Moved 780.7379 528 356.5 0.3888889 -0.0810186
Stationary 780.7687 528 356.5 0.3888889 -0.0810186
Stationary 780.7993 528 356.5 0.3888889 -0.0810186
Moved 780.8301 511.8095 357 0.351411 -0.07973259
Moved 780.8608 493.0396 370.978 0.3079621 -0.04378095
Moved 780.8916 467.4417 390.0466 0.2487077 0.00526389
Moved 780.9223 446 407.5 0.199074 0.05015428
Moved 780.9531 437.0447 419.9404 0.1783443 0.08215107
Moved 780.9838 428.756 434.4879 0.1591575 0.1195676
Moved 781.0146 425.5013 449.9919 0.1516235 0.159444
Moved 781.0452 425 458.8516 0.150463 0.1822313
Moved 781.076 425 468.117 0.150463 0.2060621
Moved 781.1068 425 475.4183 0.150463 0.2248413
Moved 781.1375 425 479.2372 0.150463 0.2346637
Moved 781.1682 425 481.6476 0.150463 0.240863
Moved 781.199 425 484.4194 0.150463 0.2479923
Moved 781.2297 425 488.1815 0.150463 0.2576685
Moved 781.2604 417.3351 495.799 0.1327202 0.2772606
Moved 781.2912 398.8369 504.1862 0.08990019 0.2988327
Moved 781.3219 374.5699 508.1589 0.03372669 0.3090505
Moved 781.3527 355.5013 508 -0.01041368 0.3086419
Moved 781.3834 342.5 508 -0.04050925 0.3086419
Moved 781.4142 327.4345 500.3403 -0.07538299 0.2889411
Moved 781.4449 312.8378 497.1396 -0.1091718 0.2807089
Moved 781.4756 291.5836 490.7382 -0.1583712 0.2642441
Moved 781.5063 276.6045 485.9209 -0.1930452 0.2518541
Moved 781.5371 263.4089 481.1363 -0.2235904 0.239548
Moved 781.5679 256.7493 480 -0.2390062 0.2366254
Moved 781.5986 254.9991 478.9991 -0.2430576 0.2340512
Moved 781.6293 254 479 -0.2453704 0.2340534
Ended 781.66 254 479 -0.2453704 0.2340534
PhraseEnd 782.7358
