the collapse of the Roman empire
Direct
0.6 0.6
432 388.8
Moved 1625.167 452.5598 509.712 0.2142589 0.3130452
Moved 1625.198 438.3954 507.0659 0.1814709 0.3062394
Moved 1625.229 422.5 505.5 0.144676 0.3022119
Moved 1625.26 408.6878 505 0.1127031 0.3009258
Moved 1625.29 397.695 503.739 0.08725693 0.2976826
Moved 1625.321 386.4187 503 0.06115446 0.2957818
Moved 1625.352 377.2462 503 0.0399218 0.2957818
Moved 1625.382 370.0194 503 0.02319316 0.2957818
Moved 1625.413 362.4237 503 0.005610386 0.2957818
Moved 1625.444 351.5635 503 -0.01952891 0.2957818
Moved 1625.475 342.9518 503 -0.03946354 0.2957818
Moved 1625.505 337.1722 503 -0.0528422 0.2957818
Moved 1625.536 331.7994 503 -0.06527906 0.2957818
Moved 1625.567 327.6553 503 -0.07487208 0.2957818
Moved 1625.598 322.5556 503 -0.08667693 0.2957818
Moved 1625.628 319.4749 503 -0.09380797 0.2957818
Moved 1625.659 315.9833 503 -0.1018904 0.2957818
Moved 1625.69 311 503 -0.113426 0.2957818
Moved 1625.721 305.7756 503 -0.1255195 0.2957818
Moved 1625.751 298.0172 503 -0.1434788 0.2957818
Moved 1625.782 290.2862 503 -0.1613744 0.2957818
Moved 1625.813 281.241 503 -0.1823126 0.2957818
Moved 1625.844 276.014 503 -0.194412 0.2957818
Moved 1625.874 271.5 503 -0.2048611 0.2957818
Moved 1625.905 267.1511 503 -0.214928 0.2957818
Moved 1625.936 264.6539 503 -0.2207085 0.2957818
Moved 1625.966 262.5 503 -0.2256944 0.2957818
Moved 1625.997 260.5738 503 -0.2301533 0.2957818
Moved 1626.028 258.5 503 -0.2349537 0.2957818
Moved 1626.059 256.7794 503 -0.2389367 0.2957818
Moved 1626.089 253.4831 503 -0.2465668 0.2957818
Moved 1626.12 250.7034 497.1102 -0.2530013 0.2806332
Moved 1626.151 247.5 491.5 -0.2604167 0.2662036
Moved 1626.182 241.8685 476.6057 -0.2734524 0.2278951
Moved 1626.212 237.784 465.5681 -0.2829073 0.1995062
Moved 1626.243 233.6853 454.3707 -0.2923951 0.1707064
Moved 1626.274 232.5 449 -0.2951389 0.156893
Moved 1626.305 231 443.064 -0.2986111 0.1416253
Moved 1626.335 230 438 -0.3009259 0.1286007
Moved 1626.366 227.9462 435.9462 -0.30568 0.1233184
Moved 1626.397 228 432.5 -0.3055556 0.1144546
Moved 1626.428 226.5805 431.5806 -0.3088414 0.1120899
Moved 1626.458 225.6277 428.6277 -0.3110469 0.1044951
Moved 1626.489 225.0901 427.0901 -0.3122914 0.1005402
Moved 1626.52 225 425.7731 -0.3125 0.09715292
Moved 1626.551 223.6472 424.6472 -0.3156314 0.09425716
Moved 1626.581 223 422.9916 -0.3171296 0.08999879
Moved 1626.612 221.7208 421.7208 -0.3200907 0.0867304
Moved 1626.643 221 419.8151 -0.3217593 0.08182898
Moved 1626.673 219.3799 419 -0.3255095 0.07973251
Moved 1626.704 217.8313 418 -0.3290941 0.07716041
Moved 1626.735 217 416 -0.3310185 0.07201634
Moved 1626.766 215.8707 414.8707 -0.3336326 0.06911175
Moved 1626.797 214.5226 415 -0.3367532 0.06944436
Moved 1626.827 213.9778 414 -0.3380144 0.06687239
Moved 1626.858 214 412.7172 -0.3379629 0.06357291
Moved 1626.889 213 411.8905 -0.3402778 0.06144664
Moved 1626.919 211.9287 412 -0.3427577 0.06172835
Moved 1626.95 212 411.0941 -0.3425926 0.05939821
Moved 1626.981 210.7772 411 -0.3454232 0.05915629
Stationary 1627.012 211 411 -0.3449074 0.05915629
Stationary 1627.042 211 411 -0.3449074 0.05915629
Stationary 1627.073 211 411 -0.3449074 0.05915629
Stationary 1627.104 211 411 -0.3449074 0.05915629
Stationary 1627.135 211 411 -0.3449074 0.05915629
Stationary 1627.165 211 411 -0.3449074 0.05915629
Stationary 1627.196 211 411 -0.3449074 0.05915629
Moved 1627.227 211 420.2216 -0.3449074 0.0828743
Moved 1627.258 219.5402 424.5402 -0.3251384 0.09398185
Moved 1627.288 222.0132 428.0264 -0.3194139 0.1029484
Moved 1627.319 224.5552 431.5552 -0.3135295 0.1120247
Moved 1627.35 227.0938 434.0938 -0.3076532 0.118554
Moved 1627.38 228.636 436.636 -0.3040833 0.1250924
Moved 1627.411 230 437.8517 -0.3009259 0.1282195
Moved 1627.442 231 439 -0.2986111 0.1311728
Moved 1627.473 231 440.5 -0.2986111 0.1350308
Moved 1627.503 232 441.202 -0.2962963 0.1368364
Stationary 1627.534 232 441 -0.2962963 0.1363167
Moved 1627.565 232 442.0936 -0.2962963 0.1391296
Stationary 1627.596 232 442 -0.2962963 0.1388888
Stationary 1627.626 232 442 -0.2962963 0.1388888
Stationary 1627.657 232 442 -0.2962963 0.1388888
Stationary 1627.688 232 442 -0.2962963 0.1388888
Stationary 1627.719 232 442 -0.2962963 0.1388888
Stationary 1627.749 232 442 -0.2962963 0.1388888
Stationary 1627.78 232 442 -0.2962963 0.1388888
Stationary 1627.811 232 442 -0.2962963 0.1388888
Stationary 1627.842 232 442 -0.2962963 0.1388888
Stationary 1627.872 232 442 -0.2962963 0.1388888
Ended 1627.903 232 442 -0.2962963 0.1388888
Backspace 1628.579
Began 1629.655 333 520 -0.06249999 0.3395061
Stationary 1629.686 333 520 -0.06249999 0.3395061
Stationary 1629.717 333 520 -0.06249999 0.3395061
Stationary 1629.747 333 520 -0.06249999 0.3395061
Stationary 1629.778 333 520 -0.06249999 0.3395061
Moved 1629.809 344.2753 498.8746 -0.03639986 0.2851712
Moved 1629.839 353.8777 486.1834 -0.01417195 0.2525292
Moved 1629.87 366.5 467.5 0.0150463 0.2044752
Moved 1629.901 372.4794 457.6941 0.02888759 0.1792543
Moved 1629.932 377.6487 450.3513 0.04085342 0.1603686
Moved 1629.962 381.7534 443.3699 0.0503551 0.1424121
Moved 1629.993 385.4214 438.1571 0.05884597 0.1290049
Moved 1630.024 388.4792 431.0417 0.06592394 0.1107038
Moved 1630.055 391.1912 423.4264 0.07220179 0.09111722
Moved 1630.085 394.7511 412.9956 0.08044232 0.06428903
Moved 1630.116 399.402 397.593 0.09120831 0.02467332
Moved 1630.147 404 380 0.1018518 -0.02057613
Moved 1630.178 409.077 364.7306 0.1136041 -0.05984938
Moved 1630.208 413.1796 350.0511 0.1231009 -0.0976053
Moved 1630.239 418.3855 335.229 0.1351517 -0.1357279
Moved 1630.27 424 322 0.1481481 -0.1697531
Moved 1630.301 426.9314 315.1371 0.1549338 -0.1874045
Moved 1630.331 429.4831 307.5508 0.1608405 -0.2069168
Moved 1630.362 431.0434 302.9131 0.1644524 -0.2188448
Moved 1630.393 432.5 300.5 0.167824 -0.2250515
Moved 1630.423 433 297.1727 0.1689814 -0.2336095
Moved 1630.454 434.3848 294.6152 0.172187 -0.2401871
Moved 1630.485 435 292.0599 0.1736111 -0.2467595
Moved 1630.516 436.4918 289.5082 0.1770643 -0.2533224
Moved 1630.547 436 288 0.1759259 -0.2572017
Moved 1630.577 437.0407 286.9593 0.1783349 -0.2598784
Moved 1630.608 437 284.5 0.1782407 -0.2662037
Ended 1630.639 438.0749 285 0.180729 -0.2649178
Backspace 1631.53
Began 1632.667 338 530 -0.05092591 0.3652262
Stationary 1632.698 338 530 -0.05092591 0.3652262
Stationary 1632.729 338 530 -0.05092591 0.3652262
Stationary 1632.76 338 530 -0.05092591 0.3652262
Moved 1632.79 347.8139 508.7792 -0.02820864 0.310646
Moved 1632.821 361.2509 494.7491 0.002895693 0.2745603
Moved 1632.852 379.1581 476.0466 0.04434745 0.2264571
Moved 1632.883 398.7644 458.5811 0.08973251 0.1815357
Moved 1632.913 409.9604 449.0396 0.1156492 0.1569946
Moved 1632.944 424.8869 436.2609 0.1502011 0.1241278
Moved 1632.975 434.69 426.31 0.1728934 0.0985339
Moved 1633.005 442.464 416.3813 0.1908888 0.07299721
Moved 1633.036 448.8499 410.1501 0.205671 0.0569705
Moved 1633.067 454.7773 402.2227 0.219392 0.03658086
Moved 1633.098 458.4744 393.5767 0.22795 0.01434342
Moved 1633.128 459 391.9783 0.2291666 0.0102321
Moved 1633.159 459 388.7896 0.2291666 0.002030698
Moved 1633.19 446.9679 380.4839 0.2013146 -0.01933149
Moved 1633.221 422.3193 376.6099 0.1442576 -0.02929554
Moved 1633.251 388.9942 386.3787 0.06711612 -0.004170147
Moved 1633.282 360.2802 401.926 0.0006486973 0.03581797
Moved 1633.313 324.6902 423.7291 -0.08173555 0.09189566
Moved 1633.344 296.9088 442.0608 -0.1460444 0.1390451
Moved 1633.374 277.6437 454.9727 -0.1906396 0.1722549
Moved 1633.405 264.61 464.26 -0.2208102 0.196142
Moved 1633.436 255.7449 470.6276 -0.2413312 0.2125193
Ended 1633.467 251.8134 473.1865 -0.2504318 0.2191011
Began 1634.481 275 214 -0.1967592 -0.4475308
Stationary 1634.512 275 214 -0.1967592 -0.4475308
Stationary 1634.542 275 214 -0.1967592 -0.4475308
Stationary 1634.573 275 214 -0.1967592 -0.4475308
Stationary 1634.604 275 214 -0.1967592 -0.4475308
Moved 1634.635 275 225.6528 -0.1967592 -0.4175597
